Title,Authors,Published,Summary,Link
Almost sure invariance principle for sequential and non-stationary   dynamical systems,"N. Haydn, M. Nicol, A. Tôrôk, S. Vaienti",2014-06-17T07:58:21Z,"We establish almost sure invariance principles, a strong form of approximation by Brownian motion, for non-stationary time-series arising as observations on dynamical systems. Our examples include observations on sequential expanding maps, perturbed dynamical systems, non-stationary sequences of functions on hyperbolic systems as well as applications to the shrinking target problem in expanding systems.",http://arxiv.org/abs/1406.4266v1
Ergodic Theorems for the Transfer Operators of Noisy Dynamical Systems,Eleonora Catsigeras,2018-07-07T00:24:24Z,"We consider stationary stochastic dynamical systems evolving on a compact metric space, by perturbing a deterministic dynamics with a random noise, added according to an arbitrary probabilistic distribution. We prove the maximal and pointwise ergodic theorems for the transfer operators associated to such systems. The results are extensions to noisy systems of some of the fundamental ergodic theorems for deterministic systems.",http://arxiv.org/abs/1807.02595v1
Control Performance Analysis of Power Steering System Electromechanical   Dynamics,Prerit Pramod,2023-09-24T12:49:28Z,"Modern power steering systems employ an electric motor drive system to provide torque assistance to the driver. The closed-loop mechanical system dynamics that impact stability, performance and steering feel are significantly impacted by the electrical dynamics of the actuator depending on the structure and tuning of the motor torque controller. This paper presents an integrated approach to the analysis of this electromechanical dynamic control interaction through mathematical modeling which is confirmed with simulations.",http://arxiv.org/abs/2309.13623v1
Carleman-Fourier linearization of nonlinear real dynamical systems with   quasi-periodic fields,"Nader Motee, Qiyu Sun",2025-03-03T13:09:02Z,"This work presents Carleman-Fourier linearization for analyzing nonlinear real dynamical systems with quasi-periodic vector fields characterized by multiple fundamental frequencies. Using Fourier basis functions, this novel framework transforms such dynamical systems into equivalent infinite-dimensional linear dynamical systems. In this work, we establish the exponential convergence of the primary block in the finite-section approximation of this linearized system to the state vector of the original nonlinear system. To showcase the efficacy of our approach, we apply it to the Kuramoto model, a prominent model for coupled oscillators. The results demonstrate promising accuracy in approximating the original system's behavior.",http://arxiv.org/abs/2503.01498v1
The structure of tame minimal dynamical systems,Eli Glasner,2006-09-18T15:41:31Z,"A dynamical version of the Bourgain-Fremlin-Talagrand dichotomy shows that the enveloping semigroup of a dynamical system is either very large and contains a topological copy of $\beta \N$, or it is a ""tame"" topological space whose topology is determined by the convergence of sequences. In the latter case the dynamical system is called tame. We use the structure theory of minimal dynamical systems to show that, when the acting group is Abelian, a tame metric minimal dynamical system (i) is almost automorphic (i.e. it is an almost 1-1 extension of an equicontinuous system), and (ii) admits a unique invariant probability measure such that the corresponding measure preserving system is measure theoretically isomorphic to the Haar measure system on the maximal equicontinuous factor.",http://arxiv.org/abs/math/0609503v1
Symbolic dynamics for nonhyperbolic systems,"David Richeson, Jim Wiseman",2009-09-04T13:07:21Z,"We introduce index systems, a tool for studying isolated invariant sets of dynamical systems that are not necessarily hyperbolic. The mapping of the index systems mimics the expansion and contraction of hyperbolic maps on the tangent space, and they may be used like Markov partitions to generate symbolic dynamics. Every continuous dynamical system satisfying a weak form of expansiveness possesses an index system. Because of their topological robustness, they can be used to obtain rigorous results from computer approximations of a dynamical system.",http://arxiv.org/abs/0909.0882v1
First Steps Towards a Symplectic Dynamics,"Barney Bramham, Helmut Hofer",2011-02-18T00:30:45Z,Many interesting physical systems have mathematical descriptions as finite-dimensional or infinite-dimensional Hamiltonian systems. Poincare who started the modern theory of dynamical systems and symplectic geometry developed a particular viewpoint combining geometric and dynamical systems ideas in the study of Hamiltonian systems. After Poincare the field of dynamical systems and the field of symplectic geometry developed separately. Both fields have rich theories and the time seems ripe to develop the common core with highly integrated ideas from both fields. We discuss problems which show how dynamical systems questions and symplectic ideas come together in a nontrivial way.,http://arxiv.org/abs/1102.3723v1
Applications of Dynamical Systems in Engineering,Yousuf Ibrahim Khan,2013-04-18T20:54:14Z,"This paper presents the current possible applications of Dynamical Systems in Engineering. The applications of chaos, fractals have proven to be an exciting and fruitful endeavor. These applications are highly diverse ranging over such fields as Electrical, Electronics and Computer Engineering. Dynamical Systems theory describes general patterns found in the solution of systems of nonlinear equations. The theory focuses upon those equations representing the change of processes in time. This paper offers the issue of applying dynamical systems methods to a wider circle of Engineering problems. There are three components to our approach: ongoing and possible applications of Fractals, Chaos Theory and Dynamical Systems. Some basic and useful computer simulation of Dynamical System related problems have been shown also.",http://arxiv.org/abs/1304.5251v1
Dynamical cubes and a criteria for systems having products extensions,"Sebastián Donoso, Wenbo Sun",2014-06-04T21:44:49Z,"For minimal $\mathbb{Z}^{2}$-topological dynamical systems, we introduce a cube structure and a variation of the regionally proximal relation for $\mathbb{Z}^2$ actions, which allow us to characterize product systems and their factors. We also introduce the concept of topological magic systems, which is the topological counterpart of measure theoretic magic systems introduced by Host in his study of multiple averages for commuting transformations. Roughly speaking, magic systems have a less intricate dynamic and we show that every minimal $\mathbb{Z}^2$ dynamical system has a magic extension. We give various applications of these structures, including the construction of some special factors in topological dynamics of $\mathbb{Z}^2$ actions, and a computation of the automorphism group of the minimal Robinson tiling.",http://arxiv.org/abs/1406.1220v1
Dynamical Networks in Function Dynamics,"Naoto Kataoka, Kunihiko Kaneko",2002-02-17T11:20:03Z,"As a first step toward realizing a dynamical system that evolves while spontaneously determining its own rule for time evolution, function dynamics (FD) is analyzed. FD consists of a functional equation with a self-referential term, given as a dynamical system of a 1-dimensional map. Through the time evolution of this system, a dynamical graph (a network) emerges. This graph has three interesting properties: i) vertices appear as stable elements, ii) the terminals of directed edges change in time, and iii) some vertices determine the dynamics of edges, and edges determine the stability of the vertices, complementarily. Two aspects of FD are studied, the generation of a graph (network) structure and the dynamics of this graph (network) in the system.",http://arxiv.org/abs/nlin/0202033v1
Ergodicity of hard spheres in a box,Nandor Simanyi,1997-03-21T00:00:00Z,"We prove that the system of two hard balls in a $\nu$-dimensional ($\nu\ge2$) rectangular box is ergodic and, therefore, actually it is a Bernoulli flow.",http://arxiv.org/abs/math/9703213v1
Convergent Normal Forms of Symmetric Dynamical Systems,G. Cicogna,1997-04-02T07:23:21Z,It is shown that the presence of Lie-point-symmetries of (non-Hamiltonian) dynamical systems can ensure the convergence of the coordinate transformations which take the dynamical sytem (or vector field) into Poincar\'e-Dulac normal form.,http://arxiv.org/abs/solv-int/9704003v1
Dynamical Systems on Bundles,Mehmet Tekkoyun,2009-03-02T07:59:08Z,"In this study, Hamiltonian and Lagrangian theories, which are mathematical models of mechanical systems, are structured on the horizontal and the vertical distributions of tangent and cotangent bundles. In the end, the geometrical and physical results related to Hamiltonian and Lagrangian dynamical systems are concluded.",http://arxiv.org/abs/0903.0224v1
Chaotic Characteristic of Discrete-time Linear Inclusion Dynamical   Systems,"Xiongping Dai, Tingwen Huang, Yu Huang, Mingqing Xiao",2013-08-20T10:05:30Z,"In this paper, we study the fiber-chaos of switched linear dynamical systems.",http://arxiv.org/abs/1308.4274v1
Non-stationary version of Ergodic Theorem for random dynamical systems,"Anton Gorodetski, Victor Kleptsyn",2023-05-08T20:14:31Z,"We prove a version of pointwise Ergodic Theorem for non-stationary random dynamical systems. Also, we discuss two specific examples where the result is applicable: non-stationary iterated function systems and non-stationary random matrix products.",http://arxiv.org/abs/2305.05028v1
Complex dynamics and invariant forms mod p,Alexandru Buium,2005-05-02T22:01:24Z,"Complex dynamical systems on the Riemann sphere do not possess ``invariant forms''. However there exist non-trivial examples of dynamical systems, defined over number fields, satisfying the property that their reduction modulo $\wp$ possesses ``invariant forms'' for all but finitely many places $\wp$. The paper completely characterizes those dynamical systems possessing the latter property.",http://arxiv.org/abs/math/0505037v2
The Gentlest Ascent Dynamics,"Weinan E, Xiang Zhou",2010-10-30T03:12:45Z,Dynamical systems that describe the escape from the basins of attraction of stable invariant sets are presented and analyzed. It is shown that the stable fixed points of such dynamical systems are the index-1 saddle points. Generalizations to high index saddle points are discussed. Both gradient and non-gradient systems are considered. Preliminary results on the nature of the dynamical behavior are presented.,http://arxiv.org/abs/1011.0042v2
Entropy of nonautonomous dynamical systems,Christoph Kawan,2017-08-02T16:19:32Z,"Different notions of entropy play a fundamental role in the classical theory of dynamical systems. Unlike many other concepts used to analyze autonomous dynamics, both measure-theoretic and topological entropy can be extended quite naturally to discrete-time nonautonomous dynamical systems given in the process formulation. This paper provides an overview of the author's work on this subject. Also an example is presented that has not appeared before in the literature.",http://arxiv.org/abs/1708.00815v1
Non uniform hyperbolicity and elliptic dynamics,Bassam Fayad,2004-04-07T13:47:05Z,We present some constructions that are merely the fruit of combining recent results from two areas of smooth dynamics: nonuniformly hyperbolic systems and elliptic constructions.,http://arxiv.org/abs/math/0404163v1
The dynamic system of the traffic assignment problem: Part III.   Incorporating traffic dynamics,Wen-Long Jin,2005-03-15T02:26:14Z,The paper has been merged into math/0503283,http://arxiv.org/abs/math/0503285v2
Criterion for quasi-anosovian diffeomorphisms of closed manifolds,Xiongping Dai,2014-04-08T07:33:32Z,"Quasi-Anosov diffeomorphism is a kind of important dynamical system due to R. Mane 1970s. In this paper, we present a criterion for such dynamics using ergodic theory.",http://arxiv.org/abs/1404.2029v1
Symbolic Dynamics for Normally Hyperbolic Foliations,Pablo D. Carrasco,2016-06-01T04:07:06Z,"We introduce some tools of symbolic dynamics to study the hyperbolic directions of partially hyperbolic diffeomorphisms, emulating the well known methods available for uniformly hyperbolic systems.",http://arxiv.org/abs/1606.00104v1
Generic Dynamics on Compact Metric Spaces,Alfonso Artigue,2018-01-25T15:31:52Z,We prove that generically and modulo a topological conjugacy there is only one dynamical system.,http://arxiv.org/abs/1801.08452v2
A Lax Functorial Definition of Open Dynamics,Stéphane Dugowson,2018-05-29T11:56:08Z,This paper provides a rewording in the language of lax-functors of the definition of open dynamics given in our systemic theory of interactivity exposed in previous papers.,http://arxiv.org/abs/1805.11369v1
On the nonchaotic nature of monotone dynamical systems,Morris W. Hirsch,2019-06-18T17:00:39Z,"Two types of dynamics, chaotic and monotone, are compared. It is shown that monotone maps in strongly ordered spaces do not have chaotic attracting sets.",http://arxiv.org/abs/1906.07688v1
Relation of stability and bifurcation properties between continuous and   ultradiscrete dynamical systems via discretization with positivity: one   dimensional cases,"Shousuke Ohmori, Yoshihiro Yamazaki",2022-12-07T04:41:37Z,"Stability and bifurcation properties of one-dimensional discrete dynamical systems with positivity, which are derived from continuous ones by tropical discretization, are studied. The discretized time interval is introduced as a bifurcation parameter in the discrete dynamical systems, and emergence condition of an additional bifurcation, flip bifurcation, is identified. Correspondence between the discrete dynamical systems with positivity and the ultradiscrete ones derived from them is discussed. It is found that the derived ultradiscrete max-plus dynamical systems can retain the bifurcations of the original continuous ones via tropical discretization and ultradiscretization.",http://arxiv.org/abs/2212.03455v1
Lyapunov based dynamic controller designs for reach-and-avoid problems,"Lukas Lanza, Philipp Braun",2024-11-29T10:50:22Z,"Safe obstacle avoidance and target set stabilization for nonlinear systems using reactive feedback control is under consideration. Based only on local information and by considering virtual dynamics, a safe path is generated online. The control law for the virtual dynamics is combined with a feedback controller for the dynamics of interest, where Lyapunov arguments and forward invariance are used to ensure that the state of the system remains in a vicinity of the path. To allow for discrete decisions in the avoidance controller design, the closed-loop dynamics are formulated using the hybrid systems framework. The results are illustrated by a numerical example for unicycle dynamics.",http://arxiv.org/abs/2411.19607v1
Graph Switching Dynamical Systems,"Yongtuo Liu, Sara Magliacane, Miltiadis Kofinas, Efstratios Gavves",2023-06-01T06:04:45Z,"Dynamical systems with complex behaviours, e.g. immune system cells interacting with a pathogen, are commonly modelled by splitting the behaviour into different regimes, or modes, each with simpler dynamics, and then learning the switching behaviour from one mode to another. Switching Dynamical Systems (SDS) are a powerful tool that automatically discovers these modes and mode-switching behaviour from time series data. While effective, these methods focus on independent objects, where the modes of one object are independent of the modes of the other objects. In this paper, we focus on the more general interacting object setting for switching dynamical systems, where the per-object dynamics also depends on an unknown and dynamically changing subset of other objects and their modes. To this end, we propose a novel graph-based approach for switching dynamical systems, GRAph Switching dynamical Systems (GRASS), in which we use a dynamic graph to characterize interactions between objects and learn both intra-object and inter-object mode-switching behaviour. We introduce two new datasets for this setting, a synthesized ODE-driven particles dataset and a real-world Salsa Couple Dancing dataset. Experiments show that GRASS can consistently outperforms previous state-of-the-art methods.",http://arxiv.org/abs/2306.00370v1
Computational Complex Dynamics Of The Discrete Lorenz System,Sk Sarif Hassan,2016-03-28T07:23:40Z,"The dynamics of the classical Lorenz system is well studied in $1963$ by E. N. Lorenz. Later on, there have been an extensive studies on the classical Lorenz system with the complex variables and the discrete time Lorenz system with real variables. To the best of knowledge of the author, so far there is no study on discrete time Lorenz system in complex variables. In this article, an attempt has been made to observe and understand the discrete dynamics of the Lorenz system with complex variables. This study compares the discrete dynamics of the Lorenz system with complex variables to that of the classical Lorenz system involving real and complex variables.",http://arxiv.org/abs/1604.02671v1
Efficient Neural Hybrid System Learning and Transition System   Abstraction for Dynamical Systems,"Yejiang Yang, Zihao Mo, Weiming Xiang",2024-11-15T14:53:34Z,"This paper proposes a neural network hybrid modeling framework for dynamics learning to promote an interpretable, computationally efficient way of dynamics learning and system identification. First, a low-level model will be trained to learn the system dynamics, which utilizes multiple simple neural networks to approximate the local dynamics generated from data-driven partitions. Then, based on the low-level model, a high-level model will be trained to abstract the low-level neural hybrid system model into a transition system that allows Computational Tree Logic Verification to promote the model's ability with human interaction and verification efficiency.",http://arxiv.org/abs/2411.10240v1
Continuation of solutions of coupled dynamical systems,"Tianping Chen, Wei Wu",2007-08-31T06:32:31Z,"Recently, the synchronization of coupled dynamical systems has been widely studied. Synchronization is referred to as a process wherein two (or many) dynamical systems are adjusted to a common behavior as time goes to infinity, due to coupling or forcing. Therefore, before discussing synchronization, a basic problem on continuation of the solution must be solved: For given initial conditions, can the solution of coupled dynamical systems be extended to the infinite interval $[0,+\infty)$? In this paper, we propose a general model of coupled dynamical systems, which includes previously studied systems as special cases, and prove that under the assumption of QUAD, the solution of the general model exists on $[0,+\infty)$.",http://arxiv.org/abs/0708.4275v1
Non-recurrence sets for weakly mixing linear dynamical systems,Sophie Grivaux,2012-02-14T18:42:58Z,"We study non-recurrence sets for weakly mixing dynamical systems by using linear dynamical systems. These are systems consisting of a bounded linear operator acting on a separable complex Banach space X, which becomes a probability space when endowed with a non-degenerate Gaussian measure. We generalize some recent results of Bergelson, del Junco, Lema\'nczyk and Rosenblatt, and show in particular that sets \{n_k\} such that n_{k+1}/{n_k} tends to infinity, or such that n_{k} divides n_{k+1} for each k, are non-recurrence sets for weakly mixing linear dynamical systems. We also give examples, for each r, of r-Bohr sets which are non-recurrence sets for some weakly mixing systems.",http://arxiv.org/abs/1202.3114v1
Poincare Map Method for Limit Cycles in a Max-Plus Dynamical System,"Shousuke Ohmori, Yoshihiro Yamazaki",2022-04-02T02:32:52Z,Dynamical properties of limit cycles in a two-dimensional max-plus dynamical system are discussed. We apply a Poincare map method to the limit cycles in order to reveal their stabilities. This method reduces the two dimensional system to a one-dimensional piecewise linear discrete dynamical system composed of the Poincare map and its cross section. Basins for one of the limit cycles are derived by considering the inverse system of the original model. It is found that the obtained basins show a hierarchic structure. Relationship between the Poincare map method and the method of piecewise linear mapping studied in integrable system theory for the limit cycles is discussed.,http://arxiv.org/abs/2204.00745v1
Invertible generalized synchronization: A putative mechanism for   implicit learning in biological and artificial neural systems,"Zhixin Lu, Danielle S. Bassett",2018-07-13T00:50:52Z,"Regardless of the marked differences between biological and artificial neural systems, one fundamental similarity is that they are essentially dynamical systems that can learn to imitate other dynamical systems, without knowing their governing equations. The brain is able to learn the dynamic nature of the physical world via experience; analogously, artificial neural systems can learn the long-term behavior of complex dynamical systems from data. Yet, precisely how this implicit learning occurs remains unknown. Here, we draw inspiration from human neuroscience and from reservoir computing to propose a first-principles framework explicating putative mechanisms of implicit learning. Specifically, we show that an arbitrary dynamical system implicitly learns other dynamical attractors by embedding them into its own phase space through invertible generalized synchronization. By sustaining the embedding through fine-tuned feedback loops, the arbitrary dynamical system can imitate the attractor dynamics it has learned. To evaluate the mechanism's relevance, we construct several distinct neural network models that adaptively learn and imitate multiple attractors. We observe and explain the emergence of 5 distinct phenomena reminiscent of cognitive functions: (i) imitating a dynamical system purely from learning the time series, (ii) learning multiple attractors by a single system, (iii) switching among the imitations of multiple attractors, either spontaneously or driven by external cues, (iv) filling-in missing variables from incomplete observations of a learned dynamical system, and (v) deciphering superimposed input from different dynamical systems. Collectively, our findings support the notion that artificial and biological neural networks can learn the dynamic nature of their environment, and systems within their environment, through the mechanism of invertible generalized synchronization.",http://arxiv.org/abs/1807.05214v2
The construction of the program control with probability one for   stochastic dynamic systems with jumps,Elena Karachanskaya,2012-01-14T12:04:47Z,"Investigate the stochastic dynamic non-linear system with the Wiener and the Poisson perturbations. For such systems we construct the program control with probability one, which allows this system to move on the given trajectory. In this case the control program is solution of the algebraic system of linear equations. Considered algorithm is based on the first integral theory for stochastic differential equations system.",http://arxiv.org/abs/1201.3007v1
"Analysis of the chaos dynamics in(Xn,Xn+1)plane","S. Soegianto, The Houw Liong",2002-05-15T08:38:36Z,"in the last decade, studies of chaotic system are more often used for classical choatic system than for quantum chaotic system, there are many ways of observing the chaotic system such us analyzing the frequency with Fourier transform or analyzing initial condition distance with Liapunov Exponent, this paper explains dynamic chaotic process by observing trajectory of dynamic system in (Xn,Xn+1)",http://arxiv.org/abs/nlin/0205032v1
Nonself-adjoint operator algebras for dynamical systems,"K. R. Davidson, E. G. Katsoulis",2009-04-19T02:21:42Z,This paper is a survey of our recent work on operator algebras associated to dynamical systems that lead to classification results for the systems in terms of algebraic invariants of the operator algebras.,http://arxiv.org/abs/0904.2875v1
Rational Dynamical Systems,Andreas Koutsogiannis,2011-01-17T14:28:50Z,"We introduce the notion of a rational dynamical system extending the classical notion of a topological dynamical system and we prove (multiple) recurrence results for such systems via a partition theorem for the rational numbers proved by Farmaki and the author. In particular, we extend classical recurrence results developed by Furstenberg and Weiss. Also, we give some applications of these topological recurrence results to topology, to combinatorics, to diophantine approximations and to number theory.",http://arxiv.org/abs/1101.3226v1
Invariant critical sets of conserved quantities,"Petre Birtea, Dan Comănescu",2011-05-20T10:25:20Z,"For a dynamical system we will construct various invariant sets starting from its conserved quantities. We will give conditions under which certain solutions of a nonlinear system are also solutions for a simpler dynamical system, for example when they are solutions for a linear dynamical system. We will apply these results to the example of Toda lattice.",http://arxiv.org/abs/1105.4054v1
"Degree Growth, Linear Independence and Periods of a Class of Rational   Dynamical Systems","Alina Ostafe, Igor Shparlinski",2011-09-02T23:33:38Z,"We introduce and study algebraic dynamical systems generated by triangular systems of rational functions. We obtain several results about the degree growth and linear independence of iterates as well as about possible lengths of trajectories generated by such dynamical systems over finite fields. Some of these results are generalisations of those known in the polynomial case, some are new even in this case.",http://arxiv.org/abs/1109.0575v1
On the linear operation of cloned dynamical systems and its Lyapunov   exponents,Pengfei Wang,2013-11-10T01:58:19Z,"The cloned dynamical system theory is introduced and the Lyapunov exponents of this system are qualitatively proven to be same as the original dynamical system. This property indicates that these two systems have the same error propagation speed in the phase space, and thus we can interpret the phenomenon as why the ensemble mean method sometimes is not effective.",http://arxiv.org/abs/1311.2239v2
Attainable Regions of Dynamical Systems,Nidhi Kaihnsa,2018-02-20T19:24:53Z,"We present a mathematical definition for the attainable region of a dynamical system, with primary focus on mass action kinetics for chemical reactions. We characterise this region for linear dynamical systems, and we report on experiments and conjectures for weakly reversible systems with linkage class one. A construction due to Vinzant is adapted to give a representation of faces in the convex hull of trajectories.",http://arxiv.org/abs/1802.07298v1
Global dynamics of contact Hamiltonian systems (I): monotone systems,"Liang Jin, Jun Yan",2020-08-08T04:46:59Z,"This article is devoted to a description of the dynamics of the phase flow of monotone contact Hamiltonian systems. Particular attention is paid to locating the maximal attractor (or repeller), which could be seen as the union of compact invariant sets, and investigating its topological and dynamical properties. This is based on an analysis from the viewpoint of gradient-like systems.",http://arxiv.org/abs/2008.03442v1
Topological entropy and Hausdorff dimension of irregular sets for   non-hyperbolic dynamical systems,"Pablo G. Barrientos, Yushi Nakano, Artem Raibekas, Mario Roldan",2021-03-20T23:18:56Z,We systematically investigate examples of non-hyperbolic dynamical systems having irregular sets of full topological entropy and full Hausdorff dimension. The examples include some partially hyperbolic systems and geometric Lorenz flows. We also pose interesting questions for future research.,http://arxiv.org/abs/2103.11262v2
A Closed Form Solution for the Normal Form and Zero Dynamics of a Class   of Nonlinear Systems,Siamak Tafazoli,2018-12-04T20:20:52Z,"The normal form and zero dynamics are powerful tools useful in analysis and control of both linear and nonlinear systems. There are no simple closed form solutions to the general zero dynamics problem for nonlinear systems. A few algorithms exist for determining the zero dynamics, but none is straightforward and all are difficult to apply to large dimensional problems. A Closed form solution to the zero dynamics problem would motivate more usage of this powerful technique. The author presents here a simple algebraic methodology for the normal form and zero dynamics calculation of a class of nonlinear systems, mostly found in dynamical mechanical systems. The solution is in closed form so that application of the theorem presented is straight forward. As an illustration, the zero dynamics calculations for the complex dynamics of a flexible spacecraft is presented to demonstrate the simplicity and usefulness of the proposed closed form solution.   Keywords: Control, Differential Geometry, Normal Form, Zero Dynamics, Nonlinear Systems, Feedback Linearization, Attitude Dynamics, Flexible Spacecraft.",http://arxiv.org/abs/1812.01666v1
Generalized chronotaxic systems: time-dependent oscillatory dynamics   stable under continuous perturbation,"Yevhen F. Suprunenko, Aneta Stefanovska",2014-07-20T11:54:24Z,"Chronotaxic systems represent deterministic nonautonomous oscillatory systems which are capable of resisting continuous external perturbations while having a complex time-dependent dynamics. Until their recent introduction in \emph{Phys. Rev. Lett.} \textbf{111}, 024101 (2013) chronotaxic systems had often been treated as stochastic, inappropriately, and the deterministic component had been ignored. While the previous work addressed the case of the decoupled amplitude and phase dynamics, in this paper we develop a generalized theory of chronotaxic systems where such decoupling is not required. The theory presented is based on the concept of a time-dependent point attractor or a driven steady state and on the contraction theory of dynamical systems. This simplifies the analysis of chronotaxic systems and makes possible the identification of chronotaxic systems with time-varying parameters. All types of chronotaxic dynamics are classified and their properties are discussed using the nonautonomous Poincar\'e oscillator as an example. We demonstrate that these types differ in their transient dynamics towards a driven steady state and according to their response to external perturbations. Various possible realizations of chronotaxic systems are discussed, including systems with temporal chronotaxicity and interacting chronotaxic systems.",http://arxiv.org/abs/1407.5277v1
Compositionality of the Runge-Kutta Method,Timothy Ngotiaoco,2017-07-10T11:33:39Z,"In Spivak's work, dynamical systems are described in terms of their inputs and outputs in a pictorial way using an operad of wiring diagrams. Each dynamical system is a box with certain inputs and outputs, and multiple dynamical systems are linked together using wiring diagrams, which describe how the outputs of one dynamical system to the inputs of another. By describing dynamical systems in this way, we can decompose a large dynamical system as a collection of smaller, simpler dynamical systems linked together. Of course, this decomposition is only useful if we can work with these smaller, simpler dynamical systems instead of the larger one. In his paper, Spivak shows that we can perform Euler's method on these smaller systems and still get the same results as working on the larger one. In this paper, we extend his results to prove that we can do something similar with the Runge-Kutta method. However, we need to modify the framework used in Spivak's paper to account for the fact that the Runge-Kutta method requires multiple steps, unlike Euler's method. To better describe these systems, we define wiring diagrams as objects of a double-category and dynamical systems in terms of double functors, giving a categorical description of this approximation method.",http://arxiv.org/abs/1707.02804v1
Alterations And Rearrangements Of A Non-Autonomous Dynamical System,"Puneet Sharma, Manish Raghav",2017-11-23T04:47:39Z,"In this paper, we discuss the dynamics of alterations and rearrangements of a non-autonomous dynamical system generated by the family $\mathbb{F}$. We prove that while insertion/deletion of a map in the family $\mathbb{F}$ can disturb the dynamics of a system, the dynamics of the system does not change if the map inserted/deleted is feeble open. In the process, we prove that if the inserted/deleted map is feeble open, the altered system exhibits any form of mixing/sensitivity if and only if the original system exhibits the same. We extend our investigations to properties like equicontinuity, minimality and proximality for the two systems. We prove that any finite rearrangement of a non-autonomous dynamical system preserves the dynamics of original system if the family $\mathbb{F}$ is feeble open. We also give examples to show that the dynamical behavior of a system need be not be preserved under infinite rearrangement.",http://arxiv.org/abs/1711.08573v2
"Visual Analysis of Nonlinear Dynamical Systems: Chaos, Fractals,   Self-Similarity and the Limits of Prediction",Geoff Boeing,2016-08-15T21:36:26Z,"Nearly all nontrivial real-world systems are nonlinear dynamical systems. Chaos describes certain nonlinear dynamical systems that have a very sensitive dependence on initial conditions. Chaotic systems are always deterministic and may be very simple, yet they produce completely unpredictable and divergent behavior. Systems of nonlinear equations are difficult to solve analytically, and scientists have relied heavily on visual and qualitative approaches to discover and analyze the dynamics of nonlinearity. Indeed, few fields have drawn as heavily from visualization methods for their seminal innovations: from strange attractors, to bifurcation diagrams, to cobweb plots, to phase diagrams and embedding. Although the social sciences are increasingly studying these types of systems, seminal concepts remain murky or loosely adopted. This article has three aims. First, it argues for several visualization methods to critically analyze and understand the behavior of nonlinear dynamical systems. Second, it uses these visualizations to introduce the foundations of nonlinear dynamics, chaos, fractals, self-similarity and the limits of prediction. Finally, it presents Pynamical, an open-source Python package to easily visualize and explore nonlinear dynamical systems' behavior.",http://arxiv.org/abs/1608.04416v2
Learning Dissipative Neural Dynamical Systems,"Yuezhu Xu, S. Sivaranjani",2023-09-27T21:25:26Z,"Consider an unknown nonlinear dynamical system that is known to be dissipative. The objective of this paper is to learn a neural dynamical model that approximates this system, while preserving the dissipativity property in the model. In general, imposing dissipativity constraints during neural network training is a hard problem for which no known techniques exist. In this work, we address the problem of learning a dissipative neural dynamical system model in two stages. First, we learn an unconstrained neural dynamical model that closely approximates the system dynamics. Next, we derive sufficient conditions to perturb the weights of the neural dynamical model to ensure dissipativity, followed by perturbation of the biases to retain the fit of the model to the trajectories of the nonlinear system. We show that these two perturbation problems can be solved independently to obtain a neural dynamical model that is guaranteed to be dissipative while closely approximating the nonlinear system.",http://arxiv.org/abs/2309.16032v2
Dimensional reduction of dynamical systems on graphons,"Bisna Mary Eldo, Sarbendu Rakshit, Naoki Masuda",2025-03-21T16:09:06Z,"Dynamical systems on networks are inherently high-dimensional unless the number of nodes is extremely small. Dimension reduction methods for dynamical systems on networks aim to find a substantially lower-dimensional system that preserves key properties of the original dynamics such as bifurcation structure. A class of such methods proposed in network science research entails finding a one- (or low-) dimensional system that a particular weighted average of the state variables of all nodes in the network approximately obeys. We formulate and mathematically analyze this dimension reduction technique for dynamical systems on dense graphons, or the limiting, infinite-dimensional object of a sequence of graphs with an increasing number of nodes. We first theoretically justify the continuum limit for a nonlinear dynamical system of our interest, and the existence and uniqueness of the solution of graphon dynamical systems. We then derive the reduced one-dimensional system on graphons and prove its convergence properties. Finally, we perform numerical simulations for various graphons and dynamical system models to assess the accuracy of the one-dimensional approximation.",http://arxiv.org/abs/2503.17268v1
"Base of nonlinear dynamics or Real Dynamics, Ideal Dynamics,   Unpredictable Dynamics and ""Schrodinger cat""",Oleg Kupervasser,2004-07-14T12:14:29Z,"In the paper paradoxes underlying thermodynamics and a quantum mechanics are discussed. Their solution is given from the point of view of influence of the exterior observer (surrounding medium) destroying correlations of system, or boundedness of self-knowledge of system in a case when both the observer, and a surrounding medium are included in system. Concepts Real Dynamics, Ideal Dynamics and Unpredictable Dynamics are entered. Consideration an appearance of a life is given from the point of view of these three Dynamics.",http://arxiv.org/abs/nlin/0407033v3
